jud,rural,roma,II1,II8,II10,II13,II15,V4,V5_1,V5_2,V5_3,V5_4,V5_5,V5_6,VII1_3,VII2_3
PRAHOVA,1,,50,2,1,2,3,4,,,,,,,0,0
CLUJ,0,0.00995949288436951,20,4,2,2,1,3,,,,,,,0,0
BRASOV,0,0.00321409129212436,100,1,2,1,1,4,,,,,,,0,0
BOTOSANI,0,0.0249318801089918,52,2,1,3,3,3,,,,,,,0,0
OLT,0,0.0329888073689284,89,2,2,2,1,3,,,,,,,0,0
DOLJ,0,0.0200611325030765,11,2,4,3,1,1,0,0,0,0,1,0,0,0
PRAHOVA,1,,35,2,1,2,3,3,,,,,,,1,1
CONSTANTA,0,0.00791259257216147,89,4,2,2,1,1,1,0,0,0,1,0,0,0
CLUJ,1,,54,4,4,1,4,3,,,,,,,0,1
BRAILA,1,,14,3,2,3,3,2,0,0,0,0,0,1,0,0
TIMIS,0,0.00558186738836265,30,3,2,1,1,2,0,1,1,0,1,0,0,0
ILFOV,0,0.0115735382621175,14,3,3,2,1,3,,,,,,,0,0
HUNEDOARA,1,,9,4,4,1,4,3,,,,,,,0,0
IASI,1,,11,4,4,2,3,2,1,0,0,1,1,1,0,0
ARGES,0,0.00597068394184554,89,3,1,1,3,1,0,1,1,0,1,0,0,0
DOLJ,1,,53,3,2,1,1,1,1,1,0,0,1,0,0,0
NEAMT,0,0.0251855147537858,17,1,2,1,1,2,0,0,0,0,1,0,0,0
NEAMT,1,,40,2,4,1,1,2,0,0,0,0,1,0,0,0
IASI,0,0.00461806716354316,7,2,1,3,3,2,0,0,0,1,1,0,0,0
BUCURESTI,0,0.0127187273323463,24,1,2,2,1,4,,,,,,,0,0
NEAMT,1,,40,3,1,3,3,2,1,0,0,0,0,0,0,0
PRAHOVA,0,0.023673371271132,23,2,1,3,2,2,0,1,0,0,0,0,0,0
MURES,1,,41,1,1,1,3,2,1,1,0,1,1,1,1,1
CONSTANTA,1,,50,1,4,3,1,2,0,0,0,1,0,0,0,0
BISTRITA-NASAUD,1,,62,1,1,1,2,1,0,0,1,0,0,0,0,0
PRAHOVA,1,,10,3,3,1,1,1,0,1,0,0,1,1,0,0
PRAHOVA,0,0.023673371271132,34,1,1,3,3,3,,,,,,,0,0
ARGES,0,0.00523976060882201,6,1,1,3,1,2,1,0,0,0,0,0,0,0
BUCURESTI,0,0.0127187273323463,51,1,1,1,1,3,,,,,,,0,0
BRASOV,0,0.00321409129212436,20,1,2,2,3,2,1,1,1,1,1,0,0,0
VASLUI,0,0.0130322995339868,73,4,2,3,1,2,0,1,0,0,1,0,0,0
BRASOV,0,0.0247315327041979,30,2,1,3,1,2,1,1,0,0,1,0,0,0
PRAHOVA,1,,18,3,4,2,1,2,1,0,1,0,1,0,0,0
TIMIS,0,0.00720063761371236,12,4,4,1,4,2,1,1,1,0,1,1,0,0
DAMBOVITA,1,,49,1,3,2,4,1,0,0,1,0,0,0,0,0
TIMIS,1,,22,2,4,2,1,3,,,,,,,0,0
ALBA,1,,45,2,1,3,3,3,,,,,,,0,0
PRAHOVA,0,0.00258774057900695,53,2,2,3,3,2,0,0,0,0,0,1,0,0
ARGES,0,0.00523976060882201,89,4,3,2,3,3,,,,,,,0,0
PRAHOVA,1,,30,2,1,2,1,3,,,,,,,0,0
CONSTANTA,0,0.00791259257216147,3,2,1,3,3,2,1,1,1,1,1,1,0,0
TIMIS,0,0.055378627034678,74,2,1,2,3,2,0,0,1,0,0,0,0,0
CLUJ,1,,76,1,1,3,1,2,1,0,0,1,0,0,0,0
OLT,1,,12,2,1,2,3,3,,,,,,,0,0
CONSTANTA,1,,89,3,2,1,3,2,0,1,1,0,1,1,0,0
HUNEDOARA,0,0.0119294524927098,89,1,1,3,1,1,0,0,0,0,1,0,0,0
CLUJ,0,0.00995949288436951,28,2,4,3,3,2,1,1,0,0,1,0,0,0
ARAD,0,0.015784484603859,27,4,1,3,3,1,1,1,1,1,1,1,0,0
BRAILA,1,,89,1,2,3,3,4,,,,,,,0,0
BUCURESTI,0,0.0127187273323463,40,3,3,1,1,3,,,,,,,0,0
GORJ,1,,19,3,3,1,3,2,1,1,0,1,1,0,0,0
DOLJ,0,0.0200611325030765,30,1,1,1,3,1,0,1,0,0,1,0,0,0
IASI,1,,62,1,2,1,3,2,1,0,1,0,1,0,0,0
BUZAU,1,,20,3,3,3,1,4,,,,,,,0,1
DAMBOVITA,0,0.033276736029348,53,1,2,2,3,2,0,1,0,0,1,0,0,0
NEAMT,1,,7,4,2,1,3,2,0,0,1,1,1,0,0,0
CONSTANTA,1,,72,1,2,3,3,2,0,0,0,1,0,1,0,0
BUZAU,0,0.0782041214221885,29,2,3,3,3,3,,,,,,,0,0
TIMIS,1,,89,3,3,3,3,3,,,,,,,0,0
VRANCEA,0,0.0118903472659466,5,2,1,1,1,2,0,0,0,0,1,0,0,0
IASI,0,0.0139510397473019,20,1,2,2,3,2,1,1,1,0,1,0,0,0
TIMIS,1,,20,2,1,1,3,3,,,,,,,0,0
ILFOV,1,,7,4,1,2,1,2,1,0,0,0,0,0,0,0
CLUJ,1,,89,1,2,3,3,2,1,1,0,0,1,1,0,0
ARAD,0,0.015784484603859,16,2,1,1,1,4,,,,,,,0,0
NEAMT,0,0.04568697198755,10,1,2,1,1,3,,,,,,,0,0
NEAMT,0,0.0251855147537858,48,2,2,1,3,2,0,0,1,0,0,0,0,0
IASI,1,,75,3,3,3,3,3,,,,,,,0,0
BACAU,1,,30,1,2,1,3,4,,,,,,,0,0
BIHOR,1,,20,1,4,2,3,3,,,,,,,0,0
DAMBOVITA,0,0.033276736029348,10,3,3,3,3,2,0,1,0,0,0,0,0,0
CONSTANTA,1,,46,2,4,3,1,2,0,0,0,0,0,1,0,0
DAMBOVITA,1,,35,3,2,3,3,4,,,,,,,0,0
ARGES,1,,58,1,2,1,4,3,,,,,,,0,0
GORJ,1,,6,4,2,1,1,3,,,,,,,0,0
ALBA,0,0.0168477056085125,15,1,2,3,3,1,0,1,0,0,1,0,0,0
TIMIS,1,,17,1,2,3,1,2,1,1,0,0,0,0,0,0
HARGHITA,1,,100,4,4,2,4,2,0,0,0,0,1,0,0,0
ARAD,0,0.0577706455993087,19,2,2,3,3,2,0,1,0,0,1,0,0,0
DOLJ,0,0.0200611325030765,81,1,3,2,3,2,0,0,0,1,1,0,1,0
IASI,0,0.00461806716354316,64,2,1,2,3,3,,,,,,,0,0
CONSTANTA,1,,43,4,4,1,1,3,,,,,,,0,0
BUCURESTI,0,0.0127187273323463,41,2,1,1,1,2,0,0,0,0,0,0,0,0
IALOMITA,0,0.0542822300741065,25,1,2,3,3,2,1,1,1,0,1,0,0,0
TULCEA,0,0.0123796423658872,35,1,1,1,3,2,1,0,0,1,0,0,1,1
GORJ,0,0.00366282941680145,75,2,1,2,3,2,1,1,0,0,0,0,0,0
GALATI,1,,70,2,4,3,1,3,,,,,,,1,1
MEHEDINTI,0,0.00573493437814026,19,1,2,3,3,4,,,,,,,0,0
BUCURESTI,0,0.0127187273323463,100,1,3,3,1,2,0,0,0,0,1,0,1,0
BIHOR,1,,15,2,3,1,3,1,1,0,0,0,0,0,0,0
GORJ,1,,35,3,2,3,1,1,0,0,0,0,1,0,0,0
BUCURESTI,0,0.0127187273323463,30,2,2,1,3,1,0,1,1,0,1,1,0,0
CLUJ,0,0.00995949288436951,10,3,2,1,1,2,1,1,1,0,0,0,0,0
TIMIS,0,0.00720063761371236,50,4,2,3,1,2,1,1,0,0,0,0,0,0
GIURGIU,1,,89,1,2,3,3,4,,,,,,,0,0
PRAHOVA,1,,10,3,3,2,1,3,,,,,,,0,0
CONSTANTA,1,,15,3,1,3,3,2,1,0,0,0,1,0,0,0
GIURGIU,0,0.0456301951073327,100,4,4,2,1,3,,,,,,,0,0
DAMBOVITA,1,,20,2,1,3,3,2,1,0,0,0,1,0,0,0
BRAILA,0,0.0108123604939283,37,4,4,1,3,2,1,1,0,1,1,0,0,0
CALARASI,1,,15,1,4,3,1,3,,,,,,,0,0
ARGES,1,,38,1,2,2,3,2,1,1,0,1,1,1,0,0
CONSTANTA,0,0.0320240439423774,20,1,2,1,3,2,1,1,0,1,1,1,0,0
BIHOR,1,,0,4,4,1,1,2,1,1,1,1,1,0,0,0
TELEORMAN,0,0.0114605171208945,34,4,1,3,3,2,1,0,0,0,1,0,0,0
TULCEA,1,,20,4,4,3,3,3,,,,,,,0,0
SALAJ,1,,20,2,4,2,1,2,0,1,0,1,1,0,0,0
COVASNA,1,,21,1,2,2,1,2,0,0,0,0,1,0,0,0
TELEORMAN,0,0.0198271479410269,59,1,1,1,1,1,0,0,1,0,0,0,0,0
BRASOV,0,0.00321409129212436,89,2,1,1,3,2,1,1,1,1,1,1,0,0
BOTOSANI,0,0.00162700833841773,6,4,4,2,1,2,0,0,0,0,1,0,0,0
MEHEDINTI,1,,34,3,3,3,3,4,,,,,,,0,0
DAMBOVITA,0,0.0340554156171285,10,2,1,1,3,3,,,,,,,0,0
SALAJ,0,0.0836337883080093,20,1,1,3,1,3,,,,,,,0,0
DOLJ,1,,10,1,2,1,1,2,1,1,0,1,0,0,0,0
CONSTANTA,1,,89,2,1,1,1,2,0,0,0,0,1,0,1,0
