jud,rural,roma,II1,II8,II10,II13,II15,V4,V5_1,V5_2,V5_3,V5_4,V5_5,V5_6,VII1_3,VII2_3
ILFOV,1,,10,3,3,1,1,1,1,0,0,0,1,0,0,0
HARGHITA,0,0.014640120766755,50,2,1,3,3,2,1,1,0,0,1,0,0,0
SALAJ,0,0.0836337883080093,72,2,3,1,3,3,,,,,,,0,0
IASI,0,0.00461806716354316,70,1,2,1,3,3,,,,,,,0,0
ILFOV,1,,25,4,4,1,4,1,1,0,0,0,1,0,0,0
BRASOV,0,0.0247315327041979,3,1,2,2,1,2,1,0,0,0,0,0,0,0
BACAU,0,0.00804063913393598,10,4,1,1,3,3,,,,,,,0,0
DOLJ,0,0.0200611325030765,89,2,1,1,3,2,1,1,1,1,1,0,0,0
SUCEAVA,1,,35,1,2,3,3,4,,,,,,,0,0
BACAU,0,0.0503218786834709,80,3,3,1,1,2,0,1,0,0,1,0,0,0
SUCEAVA,0,0.00615512118210669,63,2,1,2,3,4,,,,,,,0,0
GIURGIU,0,0.173886700999697,7,2,4,2,1,2,1,1,0,0,1,0,0,0
ILFOV,1,,6,1,2,2,1,2,1,1,1,1,1,1,0,0
SATU MARE,0,0.0118774264346511,36,1,2,3,3,2,1,1,0,1,0,0,0,0
BACAU,0,0.0307762766201053,20,1,3,1,3,3,,,,,,,0,0
HARGHITA,0,0.00847862731778499,29,2,1,2,3,2,0,0,0,0,1,0,0,0
BUCURESTI,0,0.0127187273323463,34,3,3,2,3,3,,,,,,,0,0
VALCEA,0,0.0546687532603026,30,4,4,1,3,2,0,0,0,1,1,0,0,0
ARGES,0,0.00281498738109105,56,1,2,3,3,2,1,0,0,0,0,0,0,0
SUCEAVA,0,0.00753991720875222,25,3,3,1,1,2,1,0,0,0,0,0,0,0
SATU MARE,0,0.0212688602072351,3,3,3,2,3,1,0,1,0,0,0,0,0,0
BUCURESTI,0,0.0127187273323463,11,4,2,3,3,4,,,,,,,0,0
SATU MARE,0,0.0212688602072351,56,3,2,1,3,2,0,0,1,1,1,1,0,0
COVASNA,1,,20,2,1,3,3,3,,,,,,,0,0
MARAMURES,0,0.0380213870302045,80,2,4,2,1,3,,,,,,,0,0
OLT,0,0.0243140120149375,37,2,1,3,1,2,0,0,0,0,0,1,0,0
ILFOV,0,0.00708771613019728,10,2,1,2,1,1,1,1,1,1,1,1,0,0
BIHOR,1,,50,3,3,2,1,3,,,,,,,0,0
BUCURESTI,0,0.0127187273323463,65,1,2,3,3,3,,,,,,,0,0
IASI,0,0.00461806716354316,21,1,2,1,1,2,1,0,1,0,1,0,0,0
SUCEAVA,0,0.00655174607213282,20,1,2,1,3,2,1,0,0,0,0,0,0,0
CLUJ,0,0.00995949288436951,30,2,1,3,3,2,1,0,0,1,0,0,0,0
SALAJ,0,0.0130313930673643,15,1,2,3,3,4,,,,,,,0,0
BIHOR,0,0.01063079676737,30,1,1,1,3,3,,,,,,,0,0
IASI,0,0.00461806716354316,47,3,4,1,1,2,1,1,1,0,1,0,0,0
ALBA,0,0.0389097131681877,39,2,1,3,3,2,1,1,0,0,1,1,0,0
BACAU,0,0.00804063913393598,3,4,2,1,3,2,0,0,1,0,1,1,0,0
HARGHITA,0,0.00847862731778499,16,2,1,1,2,2,1,1,0,1,0,0,0,0
SALAJ,0,0.0130313930673643,13,2,2,1,3,4,,,,,,,0,0
VALCEA,0,0.012389446579841,12,2,1,3,1,1,0,0,0,0,1,1,0,0
OLT,0,0.0713180958927651,20,1,2,3,3,2,1,1,1,0,1,0,0,0
MURES,0,0.0995301153353268,22,4,4,1,1,3,,,,,,,0,0
SATU MARE,0,0.0212688602072351,60,2,1,3,3,1,1,1,0,0,1,0,0,0
DOLJ,0,0.0200611325030765,13,4,4,2,1,2,0,0,1,0,1,0,0,0
BRASOV,0,0.00321409129212436,50,3,3,1,1,1,1,0,0,0,1,0,0,0
MEHEDINTI,0,0.00573493437814026,10,2,1,3,3,2,0,0,0,0,0,0,0,0
TIMIS,0,0.00720063761371236,12,4,3,1,3,1,0,0,0,0,1,0,0,0
BUCURESTI,0,0.0127187273323463,45,2,1,3,1,4,,,,,,,0,0
BOTOSANI,0,0.0141886119674628,10,3,3,2,1,1,1,0,0,0,0,0,0,0
BUCURESTI,0,0.0127187273323463,30,2,1,3,3,4,,,,,,,0,0
BUCURESTI,0,0.0127187273323463,10,2,1,3,1,2,1,0,1,0,1,0,0,0
BACAU,0,0.0135384122406473,5,1,2,3,1,2,1,0,1,1,1,0,0,0
SATU MARE,0,0.0144028362508309,39,2,2,3,1,2,0,1,0,1,1,1,0,0
MURES,0,0.0225717899335997,10,3,2,1,3,3,,,,,,,0,0
BRASOV,0,0.00321409129212436,89,4,2,3,3,2,1,0,0,0,1,1,0,0
BIHOR,0,0.01063079676737,34,4,4,3,1,3,,,,,,,0,0
ARGES,0,0.00523976060882201,5,4,1,2,1,3,,,,,,,0,0
VASLUI,0,0.00419080937283627,5,2,4,2,3,2,1,1,0,0,1,1,0,0
BIHOR,0,0.01063079676737,50,1,2,3,1,2,0,0,0,0,0,1,0,0
BRASOV,0,0.00321409129212436,15,1,2,3,1,2,1,0,0,1,1,0,0,0
MARAMURES,0,0.0125493371116284,91,3,3,2,2,3,,,,,,,0,0
SUCEAVA,0,0.121626651777406,79,1,1,1,3,3,,,,,,,1,1
TIMIS,0,0.00720063761371236,86,1,4,1,2,4,,,,,,,0,0
BOTOSANI,0,0.0141886119674628,49,3,1,3,3,3,,,,,,,0,0
BRASOV,0,0.00321409129212436,68,2,2,1,3,3,,,,,,,0,0
BACAU,0,0.00804063913393598,12,2,1,1,3,2,0,0,1,0,1,0,0,0
BUCURESTI,0,0.0127187273323463,22,4,3,1,3,1,1,0,0,1,1,1,0,0
VALCEA,0,0.012389446579841,21,2,2,3,1,3,,,,,,,0,0
SUCEAVA,0,0.00753991720875222,24,4,1,1,3,3,,,,,,,0,0
BUCURESTI,0,0.0127187273323463,40,2,1,2,1,2,1,0,0,0,1,1,0,0
IASI,0,0.0139510397473019,20,2,1,1,3,2,0,0,0,0,1,1,0,0
VALCEA,0,0.012389446579841,89,1,2,3,1,2,1,1,1,0,1,0,0,0
ARGES,0,0.00597068394184554,30,3,2,1,1,2,0,0,0,0,1,0,0,0
BUCURESTI,0,0.0127187273323463,27,2,1,1,1,3,,,,,,,0,0
BUCURESTI,0,0.0127187273323463,5,1,2,1,1,1,0,1,0,1,1,1,0,0
BIHOR,0,0.01063079676737,6,2,2,3,3,3,,,,,,,0,0
GORJ,0,0.0311957209409329,15,2,1,3,3,2,1,0,0,0,1,1,0,0
SIBIU,0,0.00387084962533837,51,1,3,1,3,2,1,1,1,1,1,1,0,0
BOTOSANI,0,9.22849760059062e-05,20,2,1,2,3,2,0,0,0,0,0,1,0,0
IASI,0,0.00461806716354316,14,1,1,1,2,2,1,0,1,0,1,0,0,0
DOLJ,0,0.0200611325030765,89,3,2,2,3,3,,,,,,,0,0
BACAU,0,0.00804063913393598,75,2,2,1,3,2,1,1,0,0,1,1,0,0
BACAU,0,0.0503218786834709,9,4,2,3,3,2,0,0,0,0,1,1,0,0
CALARASI,0,0.0603022377215926,79,3,1,3,1,5,,,,,,,0,0
MARAMURES,0,0.003690036900369,20,1,1,3,1,2,0,0,0,0,1,0,1,0
CLUJ,0,0.00995949288436951,10,1,2,1,3,3,,,,,,,0,0
VALCEA,0,0.012389446579841,10,2,1,3,3,3,,,,,,,0,0
SUCEAVA,0,0.00753991720875222,7,4,2,3,1,3,,,,,,,0,0
BRASOV,0,0.00321409129212436,60,2,1,3,3,3,,,,,,,0,0
BRASOV,0,0.00321409129212436,21,2,2,1,3,2,1,1,0,0,0,0,0,0
HUNEDOARA,0,0.0131024493020806,40,2,1,3,3,3,,,,,,,0,0
DOLJ,0,0.0200611325030765,44,2,2,3,1,3,,,,,,,0,0
MARAMURES,0,0.0125493371116284,40,2,1,3,1,2,1,0,0,0,1,0,0,0
MARAMURES,0,0.0242448176799003,20,3,3,3,3,3,,,,,,,0,0
BUCURESTI,0,0.0127187273323463,12,3,3,1,3,2,0,1,0,0,0,0,0,0
SATU MARE,0,0.0118774264346511,18,4,4,1,2,4,,,,,,,0,0
SALAJ,0,0.0836337883080093,89,2,1,3,3,2,1,1,1,1,1,0,0,0
MARAMURES,0,0.0242448176799003,3,3,2,2,3,2,0,1,0,1,1,0,0,0
MURES,0,0.0225717899335997,25,4,1,2,1,3,,,,,,,0,0
BRASOV,0,0.0247315327041979,50,2,2,2,3,3,,,,,,,1,0
SUCEAVA,0,0.00828349615541771,25,4,2,3,3,2,0,1,0,1,1,1,0,0
IASI,0,0.0139510397473019,1,4,2,2,3,3,,,,,,,0,0
IASI,0,0.0139510397473019,16,1,1,1,3,3,,,,,,,1,1
MARAMURES,0,0.0211663543159519,19,2,2,2,1,2,1,0,0,0,1,0,0,0
TELEORMAN,0,0.0198271479410269,2,4,4,2,1,3,,,,,,,0,0
DOLJ,0,0.0200611325030765,26,1,2,2,3,3,,,,,,,0,0
BRASOV,0,0.0323064913228848,21,3,4,2,2,1,1,1,0,0,1,0,0,0
BIHOR,0,0.01063079676737,24,4,4,2,1,3,,,,,,,0,0
BRASOV,0,0.00321409129212436,18,2,1,2,1,4,,,,,,,0,0
NEAMT,0,0.0251855147537858,5,2,1,1,1,2,1,1,1,1,1,1,0,0
ARGES,0,0.00523976060882201,2,1,2,3,3,2,1,0,0,1,0,0,0,0
BRASOV,0,0.0169738425486098,75,3,3,3,3,2,1,1,1,1,1,1,0,0
BUCURESTI,0,0.0127187273323463,52,2,2,3,2,3,,,,,,,0,0
BACAU,0,0.0307762766201053,30,3,2,3,3,3,,,,,,,0,0
HUNEDOARA,0,0.0125210871602624,50,1,1,1,1,2,0,0,0,0,1,0,0,1
BRASOV,0,0.0169738425486098,5,3,1,3,3,1,1,0,0,0,0,1,0,0
HARGHITA,0,0.014640120766755,70,3,3,1,3,2,1,0,0,0,0,0,0,0
MARAMURES,0,0.0242448176799003,100,1,2,2,1,1,0,0,0,0,0,1,0,0
IASI,0,0.0139510397473019,2,2,3,3,3,2,0,0,0,1,1,0,0,0
BUCURESTI,0,0.0127187273323463,40,2,1,1,3,3,,,,,,,0,0
BACAU,0,0.00804063913393598,40,1,2,3,1,2,0,0,0,0,1,0,0,0
SALAJ,0,0.0836337883080093,6,4,4,2,1,2,0,0,0,0,1,0,0,0
NEAMT,0,0.00907256988547215,15,3,1,1,1,2,1,1,0,0,1,0,0,0
BIHOR,0,0.01063079676737,0,4,4,2,3,2,0,0,0,0,1,0,0,0
TIMIS,0,0.00720063761371236,30,1,2,2,1,2,0,0,0,0,1,1,0,0
MARAMURES,0,0.00513935560387428,16,1,1,1,3,3,,,,,,,0,0
BUCURESTI,0,0.0127187273323463,10,2,1,3,3,3,,,,,,,0,0
CLUJ,0,0.00995949288436951,10,2,1,1,1,3,,,,,,,0,0
SIBIU,0,0.00387084962533837,10,3,1,2,3,2,0,1,0,0,0,0,0,0
BUCURESTI,0,0.0127187273323463,12,3,3,3,1,2,0,0,0,0,1,0,0,0
ARAD,0,0.015784484603859,75,2,1,1,1,3,,,,,,,0,0
ARAD,0,0.015784484603859,60,4,4,2,3,3,,,,,,,0,0
BUCURESTI,0,0.0127187273323463,63,2,1,3,3,3,,,,,,,0,0
IASI,0,0.00461806716354316,5,4,4,1,3,2,1,0,0,0,0,1,0,0
VALCEA,0,0.012389446579841,26,1,1,2,1,1,1,1,0,0,1,0,0,0
TIMIS,0,0.00720063761371236,62,2,2,2,2,2,1,1,1,1,1,1,0,0
VALCEA,0,0.012389446579841,10,2,3,1,3,2,0,0,0,0,1,0,0,0
BUCURESTI,0,0.0127187273323463,5,1,2,1,3,4,,,,,,,0,0
SIBIU,0,0.00387084962533837,20,4,4,1,1,3,,,,,,,0,0
BUCURESTI,0,0.0127187273323463,50,2,1,2,1,2,0,0,0,0,0,0,0,0
VALCEA,0,0.012389446579841,40,1,1,2,3,3,,,,,,,0,0
BOTOSANI,0,0.0113163348049374,69,2,2,3,2,2,1,1,0,1,1,0,0,0
DOLJ,0,0.0200611325030765,65,1,2,3,3,4,,,,,,,0,0
CLUJ,0,0.00995949288436951,50,2,1,1,1,3,,,,,,,0,0
BUCURESTI,0,0.0127187273323463,40,2,1,1,3,3,,,,,,,0,0
BUCURESTI,0,0.0127187273323463,21,2,2,1,2,3,,,,,,,0,0
BUCURESTI,0,0.0127187273323463,14,2,1,1,3,2,0,1,0,0,1,0,0,0
BRASOV,0,0.00321409129212436,48,1,2,2,2,1,1,1,0,0,1,1,0,0
BUCURESTI,0,0.0127187273323463,34,1,2,1,1,3,,,,,,,0,0
SIBIU,0,0.00387084962533837,15,2,2,2,1,2,0,1,0,0,0,0,0,0
DOLJ,0,0.0200611325030765,18,3,3,1,3,2,0,0,0,1,0,0,0,0
NEAMT,0,0.00907256988547215,15,3,3,1,3,1,1,0,0,0,1,0,0,0
BUCURESTI,0,0.0127187273323463,18,2,1,2,1,3,,,,,,,0,0
CARAS-SEVERIN,0,0.0062904891559478,0,3,4,2,2,3,,,,,,,0,0
BRASOV,0,0.0247315327041979,13,3,1,1,1,3,,,,,,,0,0
VALCEA,0,0.012389446579841,5,1,1,1,2,1,1,1,1,1,1,0,0,0
BUCURESTI,0,0.0127187273323463,30,4,3,1,3,2,1,0,0,0,0,0,0,0
BACAU,0,0.0135384122406473,73,2,1,1,1,2,0,1,1,0,0,0,0,0
BIHOR,0,0.01063079676737,89,4,4,3,3,2,1,1,0,0,1,0,0,0
BUCURESTI,0,0.0127187273323463,10,3,2,1,3,1,1,1,1,1,1,0,0,0
BUCURESTI,0,0.0127187273323463,10,2,1,1,3,3,,,,,,,0,0
BRASOV,0,0.00321409129212436,89,2,4,3,3,2,1,0,0,0,0,0,0,0
DOLJ,0,0.0200611325030765,42,1,1,1,3,2,0,1,1,1,1,0,0,0
BUCURESTI,0,0.0127187273323463,33,2,1,1,3,2,1,0,0,0,0,0,0,0
BUCURESTI,0,0.0127187273323463,20,2,4,3,3,3,,,,,,,0,0
GORJ,0,0.0341109383100052,53,3,4,3,1,2,0,0,0,1,1,1,0,0
HUNEDOARA,0,0.031802686986164,61,1,2,3,3,1,1,1,0,0,1,0,0,0
BUCURESTI,0,0.0127187273323463,5,2,1,3,3,3,,,,,,,0,0
DOLJ,0,0.0200611325030765,67,2,3,2,3,1,0,0,0,0,0,1,0,0
BUCURESTI,0,0.0127187273323463,25,1,2,3,1,2,1,0,0,0,1,0,0,0
MURES,0,0.0225717899335997,23,4,4,1,3,2,0,0,0,0,1,1,0,0
VALCEA,0,0.012389446579841,50,2,1,2,2,4,,,,,,,0,0
HARGHITA,0,0.00847862731778499,33,4,4,3,2,3,,,,,,,0,0
SALAJ,0,0.0130313930673643,2,3,3,1,3,1,1,0,1,1,1,0,0,0
TIMIS,0,0.00720063761371236,25,2,1,2,3,2,1,1,0,1,1,0,0,0
IASI,0,0.0139510397473019,50,1,2,3,3,2,1,1,1,1,1,1,0,0
ARAD,0,0.0577706455993087,6,4,2,3,3,3,,,,,,,0,0
DOLJ,0,0.0200611325030765,35,2,1,1,1,2,1,1,0,1,1,1,0,0
BUCURESTI,0,0.0127187273323463,10,2,1,1,3,2,1,1,0,1,1,1,0,0
TIMIS,0,0.00720063761371236,15,2,2,3,1,2,1,1,1,1,1,0,0,0
CARAS-SEVERIN,0,0.0149858188773828,38,2,3,2,1,3,,,,,,,0,0
BUCURESTI,0,0.0127187273323463,20,2,2,2,1,2,0,1,1,1,0,0,0,0
SIBIU,0,0.00387084962533837,50,1,1,3,2,2,0,0,0,0,0,1,0,0
BRASOV,0,0.00321409129212436,59,1,2,3,1,1,1,1,0,1,1,0,0,0
BUCURESTI,0,0.0127187273323463,50,2,1,3,3,3,,,,,,,0,0
DOLJ,0,0.0200611325030765,15,2,1,3,3,3,,,,,,,0,0
BRASOV,0,0.00321409129212436,12,1,2,1,3,3,,,,,,,0,0
CLUJ,0,0.00995949288436951,30,2,3,3,3,2,1,1,1,1,1,0,0,0
BUCURESTI,0,0.0127187273323463,64,1,2,2,1,2,1,0,1,0,1,1,0,0
IASI,0,0.00461806716354316,89,1,1,2,1,3,,,,,,,0,0
DOLJ,0,0.0200611325030765,17,1,1,1,3,3,,,,,,,0,0
BUCURESTI,0,0.0127187273323463,13,4,4,2,1,2,1,1,0,0,1,0,0,0
SUCEAVA,0,0.00615512118210669,30,2,1,1,1,3,,,,,,,0,0
SATU MARE,0,0.0212688602072351,72,4,1,3,3,2,0,0,0,1,1,0,0,0
BUCURESTI,0,0.0127187273323463,16,4,2,2,2,2,0,1,0,0,0,0,0,0
OLT,0,0.039283705231577,54,3,3,2,2,1,1,0,0,1,1,0,0,0
BRASOV,0,0.00321409129212436,52,2,1,1,1,3,,,,,,,0,0
BUCURESTI,0,0.0127187273323463,33,2,1,3,1,2,1,1,0,0,0,0,0,0
MURES,0,0.0225717899335997,5,2,1,3,1,2,1,1,0,1,1,1,0,0
BUCURESTI,0,0.0127187273323463,38,2,1,3,3,2,1,1,1,1,1,1,0,0
BUCURESTI,0,0.0127187273323463,30,1,3,2,3,3,,,,,,,0,0
BACAU,0,0.00804063913393598,50,1,2,1,1,2,0,1,0,1,0,1,0,0
IASI,0,0.00461806716354316,14,3,3,2,1,1,0,0,0,0,0,1,0,0
MARAMURES,0,0.0242448176799003,9,2,4,3,1,2,1,1,0,1,0,1,0,0
BUCURESTI,0,0.0127187273323463,40,3,3,1,1,3,,,,,,,0,0
DOLJ,0,0.0200611325030765,8,1,2,1,3,2,0,1,0,0,1,1,0,0
BUCURESTI,0,0.0127187273323463,89,4,2,2,1,2,1,1,0,0,1,0,0,0
BISTRITA-NASAUD,0,0.0362945955492759,30,3,4,1,2,1,1,1,0,0,1,0,0,0
BUCURESTI,0,0.0127187273323463,41,4,4,1,1,3,,,,,,,0,0
BUCURESTI,0,0.0127187273323463,60,3,2,2,1,4,,,,,,,0,0
BUCURESTI,0,0.0127187273323463,31,1,1,3,3,3,,,,,,,0,0
BUCURESTI,0,0.0127187273323463,21,2,2,3,1,3,,,,,,,0,0
BUCURESTI,0,0.0127187273323463,50,1,2,1,1,2,1,0,0,0,0,0,0,0
BUCURESTI,0,0.0127187273323463,60,1,2,1,3,2,1,0,0,0,1,1,0,0
BUCURESTI,0,0.0127187273323463,5,1,2,1,3,1,1,0,0,0,0,0,0,0
BUCURESTI,0,0.0127187273323463,22,2,1,3,1,2,1,0,0,0,0,0,0,0
VALCEA,0,0.012389446579841,31,4,4,1,2,3,,,,,,,0,0
BUCURESTI,0,0.0127187273323463,20,2,2,3,3,3,,,,,,,0,0
BIHOR,0,0.01063079676737,1,1,1,2,3,3,,,,,,,0,0
BUCURESTI,0,0.0127187273323463,41,3,3,2,1,3,,,,,,,0,0
BUCURESTI,0,0.0127187273323463,48,1,4,2,2,3,,,,,,,0,0
BIHOR,0,0.01063079676737,50,3,2,1,3,2,1,0,0,0,0,0,0,0
GORJ,0,0.0140579101972304,15,2,1,1,3,2,1,1,0,1,0,0,0,0
BUCURESTI,0,0.0127187273323463,48,1,2,3,3,3,,,,,,,0,0
BUCURESTI,0,0.0127187273323463,41,4,2,1,1,3,,,,,,,0,0
BUCURESTI,0,0.0127187273323463,5,2,1,2,1,3,,,,,,,0,0
BUCURESTI,0,0.0127187273323463,51,2,4,1,1,1,0,1,0,0,1,1,0,0
BUCURESTI,0,0.0127187273323463,70,3,2,2,1,3,,,,,,,0,0
BUCURESTI,0,0.0127187273323463,40,3,3,1,1,2,1,0,0,0,1,1,0,0
GORJ,0,0.0311957209409329,11,1,3,2,3,4,,,,,,,0,0
BUCURESTI,0,0.0127187273323463,10,4,2,2,3,2,0,1,0,0,1,0,0,0
VALCEA,0,0.012389446579841,35,4,3,2,3,2,1,0,0,0,1,0,0,0
BUCURESTI,0,0.0127187273323463,20,1,4,3,3,4,,,,,,,0,0
BUCURESTI,0,0.0127187273323463,5,2,1,3,3,3,,,,,,,0,0
MARAMURES,0,0.0242448176799003,25,4,4,1,3,3,,,,,,,0,0
BUCURESTI,0,0.0127187273323463,65,4,4,1,3,2,1,0,0,0,0,0,0,0
BUCURESTI,0,0.0127187273323463,40,1,2,1,1,2,1,1,1,1,1,0,0,0
BUCURESTI,0,0.0127187273323463,5,1,2,1,2,2,0,0,1,0,1,0,0,0
BOTOSANI,0,0.0141886119674628,15,2,4,1,3,2,0,1,0,1,1,0,0,0
BIHOR,0,0.0228043828911508,40,4,4,1,2,1,0,0,1,0,1,0,0,0
BIHOR,0,0.0228043828911508,5,1,1,1,1,1,1,1,0,1,1,1,0,0
BUCURESTI,0,0.0127187273323463,30,2,1,3,3,2,0,1,0,0,0,0,0,0
BUCURESTI,0,0.0127187273323463,50,2,1,3,1,1,1,1,0,1,1,0,0,0
MEHEDINTI,0,0.00573493437814026,54,1,3,1,3,2,1,0,0,0,1,0,0,0
DOLJ,0,0.0200611325030765,15,2,1,3,1,3,,,,,,,0,0
BUCURESTI,0,0.0127187273323463,9,2,4,3,3,3,,,,,,,0,0
CLUJ,0,0.00995949288436951,26,2,1,2,2,2,1,1,0,1,1,0,0,0
BUCURESTI,0,0.0127187273323463,10,2,1,1,3,2,1,0,0,0,0,0,0,0
BACAU,0,0.0729450499545867,13,3,2,1,1,3,,,,,,,0,0
BUCURESTI,0,0.0127187273323463,25,3,3,3,3,2,0,0,0,0,1,0,0,0
BUCURESTI,0,0.0127187273323463,9,3,2,1,1,3,,,,,,,0,0
NEAMT,0,0.0165117658690923,14,4,4,3,1,3,,,,,,,0,0
BUCURESTI,0,0.0127187273323463,45,4,2,1,1,2,0,0,0,0,1,1,0,0
BUCURESTI,0,0.0127187273323463,27,1,2,1,3,2,0,1,0,0,1,0,0,0
BUCURESTI,0,0.0127187273323463,91,1,1,1,1,1,1,1,0,1,0,0,0,0
CLUJ,0,0.00995949288436951,62,3,3,3,1,3,,,,,,,1,1
BUCURESTI,0,0.0127187273323463,30,2,1,1,1,1,1,1,0,0,1,0,0,0
BUCURESTI,0,0.0127187273323463,2,1,2,3,1,1,1,1,0,0,1,0,0,0
BUCURESTI,0,0.0127187273323463,5,1,2,1,2,4,,,,,,,0,0
BUCURESTI,0,0.0127187273323463,85,2,1,2,1,2,1,1,0,0,1,0,0,0
BUCURESTI,0,0.0127187273323463,29,2,2,2,1,1,1,1,1,0,1,1,0,0
BUCURESTI,0,0.0127187273323463,8,2,1,1,3,3,,,,,,,0,0
BOTOSANI,0,0.00162700833841773,47,2,4,1,1,3,,,,,,,0,0
BACAU,0,0.0307762766201053,41,4,1,3,3,3,,,,,,,0,0
BUCURESTI,0,0.0127187273323463,17,2,1,2,1,3,,,,,,,0,0
BUCURESTI,0,0.0127187273323463,84,4,4,1,2,3,,,,,,,0,0
BUCURESTI,0,0.0127187273323463,25,4,4,1,4,2,1,1,1,1,1,1,0,0
SATU MARE,0,0.0118774264346511,21,4,2,1,1,2,1,1,1,1,1,1,0,0
DOLJ,0,0.0200611325030765,10,4,4,1,1,2,0,0,0,0,1,0,0,0
CLUJ,0,0.00995949288436951,25,1,2,1,3,3,,,,,,,0,0
BUCURESTI,0,0.0127187273323463,50,3,3,1,2,2,1,0,1,0,1,0,0,0
MEHEDINTI,0,0.00573493437814026,21,3,3,3,3,4,,,,,,,0,0
BUCURESTI,0,0.0127187273323463,40,1,2,1,3,2,1,1,1,0,0,0,0,0
OLT,0,0.039283705231577,70,2,1,3,1,3,,,,,,,0,0
GORJ,0,0.0311957209409329,20,1,4,1,1,3,,,,,,,0,0
GORJ,0,0.0311957209409329,5,4,2,1,1,2,1,0,0,0,1,0,0,0
PRAHOVA,0,0.018405081957915,73,3,1,3,2,1,0,0,0,0,0,1,0,0
CLUJ,0,0.00995949288436951,42,4,2,1,3,3,,,,,,,0,1
GORJ,0,0.0311957209409329,92,3,3,3,1,2,0,0,0,0,1,0,0,0
GORJ,0,0.0311957209409329,33,3,2,1,3,3,,,,,,,0,0
BIHOR,0,0.01063079676737,18,4,4,2,1,3,,,,,,,0,0
DOLJ,0,0.0200611325030765,89,3,3,3,3,3,,,,,,,0,0
BUCURESTI,0,0.0127187273323463,15,2,1,1,3,1,1,0,0,1,1,0,0,0
IASI,0,0.00461806716354316,36,3,1,1,3,1,0,1,1,1,1,1,0,0
BUCURESTI,0,0.0127187273323463,15,2,3,1,3,2,1,1,0,0,1,0,0,0
OLT,0,0.039283705231577,11,4,2,1,1,3,,,,,,,0,0
VALCEA,0,0.012389446579841,28,4,4,2,1,3,,,,,,,0,0
BUCURESTI,0,0.0127187273323463,18,4,3,2,1,3,,,,,,,0,0
BUCURESTI,0,0.0127187273323463,89,1,2,1,1,2,1,0,0,0,0,0,0,0
TELEORMAN,0,0.0167676628563559,3,2,1,3,3,2,1,0,0,0,1,0,0,0
BUCURESTI,0,0.0127187273323463,75,4,2,1,1,2,0,1,0,0,1,0,0,0
BUCURESTI,0,0.0127187273323463,0,2,1,3,1,4,,,,,,,1,1
DOLJ,0,0.0200611325030765,62,4,2,1,1,2,0,0,1,1,1,0,0,0
GORJ,0,0.0311957209409329,8,4,1,1,3,3,,,,,,,0,0
SATU MARE,0,0.105605109569431,81,3,3,1,3,2,0,0,0,1,0,0,0,0
BUCURESTI,0,0.0127187273323463,57,1,2,3,3,2,1,1,0,0,1,0,0,0
PRAHOVA,0,0.023673371271132,70,2,1,3,3,1,1,1,0,0,0,0,0,0
DAMBOVITA,0,0.033276736029348,70,2,4,1,3,2,1,1,1,1,1,1,0,0
GIURGIU,0,0.0456301951073327,15,2,1,3,3,3,,,,,,,0,0
CLUJ,0,0.0328575874794362,40,2,1,1,1,3,,,,,,,0,0
SUCEAVA,0,0.00615512118210669,61,1,2,1,4,3,,,,,,,0,0
BOTOSANI,0,0.0113163348049374,22,2,1,3,2,2,1,0,0,0,0,0,0,0
VASLUI,0,0.0130322995339868,5,2,1,2,2,3,,,,,,,0,0
