jud,rural,roma,II1,II13,II15,V4,V5_1,V5_2,V5_3,V5_4,V5_5,V5_6,VII1_3,VII2_3
ARAD,1,,70,3,1,2,0,1,0,0,0,0,0,0
PRAHOVA,1,,30,1,3,3,,,,,,,0,0
BACAU,1,,7,1,3,2,1,1,0,0,1,0,0,0
IASI,1,,51,3,1,2,1,0,0,0,1,0,0,0
BUCURESTI,0,0.0127187273323463,4,2,1,2,0,1,0,0,1,1,0,0
OLT,1,,50,1,1,2,0,0,0,0,1,0,0,0
SALAJ,0,0.0130313930673643,46,1,1,4,,,,,,,0,0
CONSTANTA,0,0.00841174408886253,60,2,1,2,1,0,0,0,0,0,0,0
IALOMITA,0,0.0266513356466747,10,1,1,2,0,1,0,0,0,0,0,0
GORJ,1,,1,2,1,3,,,,,,,0,0
BUZAU,0,0.0456143778081657,65,3,3,2,1,1,1,0,1,0,0,0
HARGHITA,1,,27,2,3,2,0,1,0,0,0,0,0,0
COVASNA,1,,56,2,3,2,1,1,1,1,1,1,0,0
GIURGIU,1,,40,1,2,1,1,0,0,0,1,0,0,0
TIMIS,0,0.00720063761371236,45,3,3,2,0,1,1,1,1,0,0,0
BRAILA,1,,16,2,1,3,,,,,,,0,0
PRAHOVA,1,,40,3,3,3,,,,,,,0,0
ARGES,0,0.00523976060882201,5,2,1,2,0,0,0,0,1,0,0,0
PRAHOVA,1,,50,2,1,3,,,,,,,0,0
DAMBOVITA,1,,45,3,3,2,0,1,1,0,1,0,0,0
IASI,1,,34,1,3,4,,,,,,,0,0
HARGHITA,1,,10,2,2,1,0,1,0,1,1,0,0,0
CLUJ,1,,35,2,3,2,0,1,0,1,0,1,0,1
HUNEDOARA,1,,30,1,3,3,,,,,,,0,0
BIHOR,0,0.01063079676737,24,1,3,2,0,1,1,0,1,0,0,0
SIBIU,1,,20,2,1,3,,,,,,,0,0
COVASNA,1,,11,2,1,3,,,,,,,0,0
CALARASI,1,,11,1,1,2,1,0,0,0,0,0,0,0
TIMIS,1,,38,1,3,3,,,,,,,0,0
CALARASI,1,,4,2,1,1,1,0,0,0,0,0,0,0
IASI,1,,19,1,1,1,1,1,0,0,1,1,0,0
CONSTANTA,1,,20,1,1,2,0,0,0,0,1,0,0,0
IALOMITA,1,,89,2,1,3,,,,,,,0,0
BRASOV,0,0.00321409129212436,51,1,3,2,0,1,0,0,1,0,0,0
ARGES,1,,25,2,1,3,,,,,,,0,0
IALOMITA,1,,60,3,3,2,0,0,0,0,1,1,0,0
VRANCEA,0,0.0118903472659466,4,2,1,2,1,0,0,1,1,0,0,0
CLUJ,0,0.00995949288436951,100,1,3,2,0,0,0,1,0,0,0,0
SUCEAVA,0,0,17,2,1,2,1,1,0,1,0,0,0,0
TIMIS,0,0.00720063761371236,87,1,2,1,0,0,0,0,0,1,0,0
VRANCEA,1,,17,1,3,3,,,,,,,0,0
PRAHOVA,1,,90,1,1,3,,,,,,,0,0
IALOMITA,1,,71,3,3,3,,,,,,,0,0
CLUJ,1,,20,1,3,3,,,,,,,0,0
ARGES,1,,90,3,3,3,,,,,,,0,0
CLUJ,1,,35,1,3,2,1,1,1,1,1,0,0,0
IASI,1,,8,2,3,2,1,1,1,0,1,0,0,0
ILFOV,1,,10,2,3,1,1,0,0,0,0,0,0,0
CONSTANTA,1,,5,1,1,2,1,1,0,0,1,1,0,0
TELEORMAN,1,,89,2,3,3,,,,,,,0,0
CLUJ,1,,11,3,3,2,1,1,0,0,0,1,0,0
HARGHITA,1,,4,2,3,3,,,,,,,0,0
PRAHOVA,1,,5,2,1,1,1,1,1,1,1,1,0,0
IALOMITA,1,,5,2,1,5,,,,,,,0,0
HARGHITA,1,,15,2,3,2,1,0,0,0,0,0,0,0
ILFOV,1,,70,2,1,2,1,0,0,0,1,0,0,0
ALBA,1,,22,2,1,2,1,1,0,0,1,0,0,0
GALATI,0,0.00635418635418635,25,1,1,2,0,0,0,0,1,0,0,0
IASI,1,,11,1,3,2,0,0,0,0,1,0,0,0
ARGES,1,,15,1,1,2,1,1,1,1,1,1,0,0
BOTOSANI,1,,32,3,1,1,0,1,1,0,0,1,0,0
VALCEA,0,0.012389446579841,1,1,1,3,,,,,,,0,0
BRASOV,0,0.00321409129212436,89,2,1,2,0,1,0,0,0,0,0,0
TIMIS,1,,30,2,3,2,1,1,0,0,1,0,0,0
COVASNA,0,0.0317742993720124,90,2,3,1,1,1,0,1,1,0,0,0
VALCEA,1,,30,1,1,1,0,0,0,0,1,1,0,0
BISTRITA-NASAUD,1,,25,1,3,2,0,0,0,0,1,0,0,0
CONSTANTA,1,,34,1,1,1,1,0,0,0,0,0,0,0
CLUJ,0,0.00995949288436951,16,2,1,1,1,1,1,1,1,0,0,0
SALAJ,1,,10,3,1,3,,,,,,,0,0
VASLUI,1,,26,1,1,5,,,,,,,0,0
MURES,1,,6,1,1,2,1,1,0,1,1,1,0,0
