town,jud,roma,roma_above_median
HIDISELU DE SUS,BIHOR,0.0452127659574468,1
JURILOVCA,TULCEA,0.00126395618285233,0
DOICESTI,DAMBOVITA,0.00125052105043768,0
CRUSET,GORJ,0.00283768444948922,0
SABAOANI,NEAMT,9.3764650726676e-05,0
STOENESTI,VALCEA,0,0
MONOR,BISTRITA-NASAUD,0.0558620689655172,1
REMETEA,HARGHITA,0,0
MOARA VLASIEI,ILFOV,0.00441222817522849,0
PIETROSANI,TELEORMAN,0.0912738214643932,1
CIOFRANGENI,ARGES,0,0
DOFTEANA,BACAU,0.0110037317003158,1
CIUREA,IASI,0.0582619339045288,1
TISAU,BUZAU,0,0
VORONA,BOTOSANI,0,0
HUDESTI,BOTOSANI,0,0
FINTA,DAMBOVITA,0,0
GILAU,CLUJ,0.0771229479154364,1
CARCEA,DOLJ,0.0191647597254005,1
DRAGALINA,CALARASI,0.110817941952507,1
BUDEASA,ARGES,0.0196031556299307,1
BOZOVICI,CARAS-SEVERIN,0.0393806799057556,1
POIANA TEIULUI,NEAMT,0,0
COPALAU,BOTOSANI,0.0209042294603792,1
AITA MARE,COVASNA,0.000580720092915215,0
ARCANI,GORJ,0.000708215297450425,0
BOCSIG,ARAD,0.0114079855899129,1
CERGAU,ALBA,0.116076970825574,1
MOSOAIA,ARGES,0.00449127655899119,0
CASTRANOVA,DOLJ,0.0140391927464171,1
TURULUNG,SATU MARE,0.0836591086786552,1
SLOBOZIA CONACHI,GALATI,0,0
SAVENI,IALOMITA,0,0
BROSTENI,MEHEDINTI,0.0200068989306657,1
DUMBRAVA ROSIE,NEAMT,0.00124378109452736,0
TEPU,GALATI,0.004526593738212,0
PAULESTI,PRAHOVA,0.00430321085733201,0
MAGURENI,PRAHOVA,0.000151538111835127,0
COJOCNA,CLUJ,0.205014058106842,1
BORDEI VERDE,BRAILA,0.00280800280800281,0
GATAIA,TIMIS,0.00558186738836265,0
SOIMUS,HUNEDOARA,0.00256410256410256,0
COTOFENII DIN DOS,DOLJ,0.00291423813488759,0
BARA,NEAMT,0,0
CANDESTI,NEAMT,0,0
VANATORI,MURES,0.29689883070666,1
AGIGEA,CONSTANTA,0.00224971878515186,0
MAGURELE,PRAHOVA,0.00520616409829238,0
MANESTI,DAMBOVITA,0.125963020030817,1
IGHIU,ALBA,0.0256600415307031,1
JIMBOLIA,TIMIS,0.055378627034678,1
BELIS,CLUJ,0.000810372771474878,0
GRADINARI,OLT,0.237694572991165,1
SAGEATA,BUZAU,0.00120748641577782,0
GHERAESTI,NEAMT,0.000157035175879397,0
SANMIHAIU ROMAN,TIMIS,0.00783248081841432,1
CLINCENI,ILFOV,0.00992555831265509,1
ROZNOV,NEAMT,0.04568697198755,1
GRAJDURI,IASI,0.0851821418789373,1
SARATA,BACAU,0,0
SALARD,BIHOR,0.0270456108182443,1
CORBU,CONSTANTA,0.00835701153267591,1
CALINESTI,ARGES,0.0074261909074443,0
DRAGUTESTI,GORJ,0,0
GHIRODA,TIMIS,0.00264921302789466,0
SANSIMION,HARGHITA,0.0014208581983518,0
FRUMUSITA,GALATI,0.14706456017164,1
VEDEA,GIURGIU,0.123472668810289,1
NICULESTI,DAMBOVITA,0.0317907444668008,1
SAPATA,ARGES,0.00222965440356745,0
BORS,BIHOR,0.00753201104694954,0
ZIMNICEA,TELEORMAN,0.0114605171208945,1
BAIA,TULCEA,0.00351312254598057,0
ILEANDA,SALAJ,0.103207236842105,1
BRETCU,COVASNA,0.0221790962018298,1
BUCECEA,BOTOSANI,0.00162700833841773,0
ESELNITA,MEHEDINTI,0.218641718641719,1
TITU,DAMBOVITA,0.0340554156171285,1
ROBANESTI,DOLJ,0,0
ALBESTI,CONSTANTA,0,0
TIBANESTI,IASI,0,0
PIATRA,TELEORMAN,0.037037037037037,1
CRUCEA,SUCEAVA,0,0
BODESTI,NEAMT,0.0278216258879242,1
BOBOTA,SALAJ,0.154973821989529,1
COSTESTI,BUZAU,0.0701107011070111,1
BOSANCI,SUCEAVA,0.0283151107373143,1
LIESTI,GALATI,0.0650893196503231,1
TIGANASI,IASI,0.000228414801279123,0
CORDUN,NEAMT,0,0
BRANESTI,DAMBOVITA,0.000234576589256392,0
COGEALAC,CONSTANTA,0.000594883997620464,0
RACASDIA,CARAS-SEVERIN,0.22673031026253,1
ULMENI,BUZAU,0.0511976047904192,1
CRASNA,SALAJ,0.0864539990753583,1
TODIRENI,BOTOSANI,0.012987012987013,1
SANPETRU,BRASOV,0.0155757097791798,1
BORCA,NEAMT,0.0330933047341811,1
DIOSTI,DOLJ,0.00862344298946024,1
RASNOV,BRASOV,0.0169738425486098,1
NICULITEL,TULCEA,0.0558745583038869,1
VOSLABENI,HARGHITA,0.0102564102564103,1
FRASIN,SUCEAVA,0.00032478077297824,0
OTELU ROSU,CARAS-SEVERIN,0.0062904891559478,0
MIERCUREA NIRAJULUI,MURES,0.0607585834981125,1
PODU TURCULUI,BACAU,0,0
MARGINENI,NEAMT,0,0
MIRCEA VODA,CONSTANTA,0.00430865648256953,0
POIANA MARULUI,BRASOV,0,0
BLEJESTI,TELEORMAN,0.0105953582240161,1
SUCIU DE SUS,MARAMURES,0.0444952962115434,1
UNIREA,CALARASI,0,0
ALBOTA,ARGES,0.00281401893067281,0
COBADIN,CONSTANTA,0.0375193114102847,1
FORASTI,SUCEAVA,0.0220833333333333,1
GUGESTI,VRANCEA,0.00335365853658537,0
ORLEA,OLT,0.00383141762452107,0
GHIDIGENI,GALATI,0.252517180757552,1
BARNOVA,IASI,0.000340078217990138,0
CALARASI,CLUJ,0.003280032800328,0
UIVAR,TIMIS,0.0471869328493648,1
TOPOLOVENI,ARGES,0.00331448625463053,0
CANESTI,BUZAU,0,0
SIBOT,ALBA,0.0290697674418605,1
POBORU,OLT,0,0
DRAGODANA,DAMBOVITA,0.00204379562043796,0
SATULUNG,MARAMURES,0.198153530518037,1
ORLAT,SIBIU,0.0138679529695508,1
GROJDIBODU,OLT,0.00345781466113416,0
VLADIMIRESCU,ARAD,0.00459445131648701,0
GIGHERA,DOLJ,0.0817430025445293,1
CURCANI,CALARASI,0.321416053277252,1
SURAIA,VRANCEA,0.0276755999299352,1
IZVOARELE,PRAHOVA,0.0154593639575972,1
COMANA,GIURGIU,0.0789980732177264,1
MORAVITA,TIMIS,0.0380434782608696,1
STANESTI,GIURGIU,0.00886990801576873,1
POJORATA,SUCEAVA,0.00777453838678328,1
MANASTIREA,CALARASI,0.139921219386881,1
POARTA ALBA,CONSTANTA,0.0061544199925401,0
HANGU,NEAMT,0,0
VAMA BUZAULUI,BRASOV,0.0307206431237439,1
HALCHIU,BRASOV,0.0449640287769784,1
